2021-02-03 16:40:56 - PHP Warning:  mkdir(): File exists in C:\xampp\htdocs\opencart-3.0.3.7\system\storage\vendor\twig\twig\src\Cache\FilesystemCache.php on line 54
2021-02-03 16:40:57 - PHP Warning:  mkdir(): File exists in C:\xampp\htdocs\opencart-3.0.3.7\system\storage\vendor\twig\twig\src\Cache\FilesystemCache.php on line 54
2021-02-03 16:40:57 - PHP Warning:  rename(C:\xampp\htdocs\opencart-3.0.3.7\system\storage\cache\template\8e\8ed56BE.tmp,C:/xampp/htdocs/opencart-3.0.3.7/system/storage/cache/template/8e/8edb4e13672148a4bfb8122120a41208f54697d1edf35b52dbf811fe4899533b.php): Access is denied (code: 5) in C:\xampp\htdocs\opencart-3.0.3.7\system\storage\vendor\twig\twig\src\Cache\FilesystemCache.php on line 65
2021-02-04 11:06:50 - PHP Warning:  mail(): Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in C:\xampp\htdocs\opencart-3.0.3.7\system\library\mail\mail.php on line 77
2021-02-04 11:07:16 - PHP Warning:  mail(): Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in C:\xampp\htdocs\opencart-3.0.3.7\system\library\mail\mail.php on line 77
2021-02-04 11:07:18 - PHP Warning:  mail(): Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in C:\xampp\htdocs\opencart-3.0.3.7\system\library\mail\mail.php on line 77
2021-03-23 4:49:10 - PHP Warning:  mysqli::__construct(): php_network_getaddresses: getaddrinfo failed: Name or service not known in /opt/lampp/htdocs/opencart1/system/library/db/mysqli.php on line 7
2021-03-23 4:49:10 - PHP Warning:  mysqli::__construct(): (HY000/2002): php_network_getaddresses: getaddrinfo failed: Name or service not known in /opt/lampp/htdocs/opencart1/system/library/db/mysqli.php on line 7
2021-03-24 15:24:22 - PHP Warning:  Packets out of order. Expected 0 received 1. Packet size=71 in /opt/lampp/htdocs/opencart1/system/library/db/mysqli.php on line 7
2021-03-24 15:24:22 - PHP Warning:  mysqli::__construct(): Error while reading greeting packet. PID=720 in /opt/lampp/htdocs/opencart1/system/library/db/mysqli.php on line 7
2021-03-24 15:24:22 - PHP Warning:  mysqli::__construct(): (HY000/2006): MySQL server has gone away in /opt/lampp/htdocs/opencart1/system/library/db/mysqli.php on line 7
2021-03-29 5:16:14 - PHP Warning:  mysqli::__construct(): (HY000/1049): Unknown database 'opencart1' in /opt/lampp/htdocs/opencart1/system/library/db/mysqli.php on line 7
